"Address","Status Code","Title 1","Indexability","Indexability Status"
"https://businessrocket.ai/?add-to-cart=3558","0","","Non-Indexable","Blocked by robots.txt"
"https://businessrocket.ai/?add-to-cart=2439","0","","Non-Indexable","Blocked by robots.txt"
"https://businessrocket.ai/wix-vs-wordpress/","200","Wix vs. WordPress: A Comprehensive Comparison -","Indexable",""
"https://businessrocket.ai/what-is-ecommerce/","200","What is e-commerce? A Beginner’s Guide To The Basics -","Indexable",""
"https://businessrocket.ai/how-to-use-wordpress/","200","How To Use WordPress: 9 Skills You Absolutely Need To Know -","Indexable",""
"https://businessrocket.ai/?add-to-cart=2023","0","","Non-Indexable","Blocked by robots.txt"
"https://businessrocket.ai/best-wordpress-themes/","200","Best WordPress Themes for Stunning Websites -","Indexable",""
"https://businessrocket.ai/ecommerce-websites/","200","14 Examples Of Beautiful, Easy-To-Shop Ecommerce Websites -","Indexable",""
"https://businessrocket.ai/?add-to-cart=3834","0","","Non-Indexable","Blocked by robots.txt"
"https://businessrocket.ai/?add-to-cart=3574","0","","Non-Indexable","Blocked by robots.txt"
"https://businessrocket.ai/squarespace-vs-wordpress/","200","Squarespace vs. WordPress: Which One Is Right For You? -","Indexable",""
"https://businessrocket.ai/?add-to-cart=3578","0","","Non-Indexable","Blocked by robots.txt"
"https://businessrocket.ai/?add-to-cart=3579","0","","Non-Indexable","Blocked by robots.txt"
"https://businessrocket.ai/?add-to-cart=2192","0","","Non-Indexable","Blocked by robots.txt"
"https://businessrocket.ai/category/hosting-development/","200","Hosting & Development Archives -","Indexable",""
"https://businessrocket.ai/category/strategy-planning/","200","Strategy & Planning Archives -","Indexable",""
"https://businessrocket.ai/category/themes-plugins/","200","Themes & Plugins Archives -","Indexable",""
"https://businessrocket.ai/tag/wordpress-hosting/","200","Wordpress Hosting Archives -","Non-Indexable","noindex"
"https://businessrocket.ai/category/for-beginners/","200","For Beginners Archives -","Indexable",""
"https://businessrocket.ai/category/resources/","200","Resources Archives -","Indexable",""
"https://businessrocket.ai/tag/web-design-development/","200","Web Design & Development Archives -","Non-Indexable","noindex"
"https://businessrocket.ai/project/astrea-managed-real-estate/","200","Astrea - Managed Real Estate -","Non-Indexable","noindex"
"https://businessrocket.ai/project-category/retail/","200","Retail Archives -","Non-Indexable","noindex"
"https://businessrocket.ai/project-category/content-marketing/","200","Content Marketing Archives -","Non-Indexable","noindex"
"https://businessrocket.ai/project/san-corp-reliable-commercial-sanitation/","200","San Corp - Reliable Commercial Sanitation -","Non-Indexable","noindex"
"https://businessrocket.ai/project/flooring-clearance-warehouse/","200","Laminate & Hardwood Flooring -","Non-Indexable","noindex"
"https://businessrocket.ai/project/high-society-real-estate-marketing/","200","High Society Real Estate Marketing -","Non-Indexable","noindex"
"https://businessrocket.ai/project/pink-pumpkin-farm/","200","Pink Pumpkin Farm -","Non-Indexable","noindex"
"https://businessrocket.ai/project-category/seo/","200","SEO Archives -","Non-Indexable","noindex"
"https://businessrocket.ai/project/another-storey-renovations/","200","Another Storey Renovations -","Non-Indexable","noindex"
"https://businessrocket.ai/seo-services/","200","SEO Services That Maximize Your Online Presence -","Indexable",""
"https://businessrocket.ai/seo-tools/","200","SEO Tools That Every Beginner Should Try -","Indexable",""
"https://businessrocket.ai/social-media-marketing-tools/","200","Social Media Marketing Tools to Boost Efficiency -","Indexable",""
"https://businessrocket.ai/best-email-marketing-platform/","200","Best Email Marketing Platform for Small Businesses -","Indexable",""
"https://businessrocket.ai/what-is-seo/","200","What Is SEO: Beginner’s Guide To Search Engine Optimization -","Indexable",""
"https://businessrocket.ai/domain-auction/","200","Domain Auction: Your Gateway to Unique Names -","Indexable",""
"https://businessrocket.ai/wordpress-seo/","200","WordPress SEO Tips for Website Success -","Indexable",""
"https://businessrocket.ai/best-website-hosting/","200","Best Website Hosting Services for Your Business -","Indexable",""
"https://businessrocket.ai/wordpress-plugins/","200","WordPress Plugins to Enhance Your Website -","Indexable",""
"https://businessrocket.ai/wordpress-template/","200","WordPress Template: Transform Your Website Today -","Indexable",""
"https://businessrocket.ai/free-wordpress-themes/","200","Free WordPress Themes for Every Website Need -","Indexable",""
"https://businessrocket.ai/wordpress-theme/","200","WordPress Theme Selection for Your Website -","Indexable",""
"https://businessrocket.ai/best-newsletter-design/","200","Best Newsletter Design Tips for Email Marketing -","Indexable",""
"https://businessrocket.ai/social-media-expert/","200","How To Become The Social Media Expert in Your Organization -","Indexable",""
"https://businessrocket.ai/digital-advertising-agency/","200","Digital Advertising Agency: What You Should Know -","Indexable",""
"https://businessrocket.ai/seo-keywords/","200","SEO Keywords: How To Track & Optimize For Improvement -","Indexable",""
"https://businessrocket.ai/benefits-of-social-media-marketing/","200","Benefits of Social Media Marketing for Businesses -","Indexable",""
"https://businessrocket.ai/facebook-ads-guide/","200","Complete Facebook Ads Guide: Pick The Right Ads For You  -","Indexable",""
"https://businessrocket.ai/social-media-marketing-plan/","200","Social Media Marketing Plan for Business Growth -","Indexable",""
"https://businessrocket.ai/social-media-marketing-agencies/","200","Social Media Marketing Agencies: Why Hire One -","Indexable",""
"https://businessrocket.ai/yoast-seo/","200","Yoast SEO: Essential Tool for WordPress Users -","Indexable",""
"https://businessrocket.ai/wordpress-hosting/","200","WordPress Hosting: Everything You Need To Know -","Indexable",""
